id_ads;manufacturer_by;model;version;km;year;price;seller;endereco;scrapy_datetime
8c9aef9c-1513-41ab-8db4-10686decdfb5;bmw;116;d 5p Msport auto;146000;06-2019;16500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
78b02ce1-2c8f-4caf-88fc-7d59b6e42cda;bmw;x1;xdrive18d Business auto my18;100000;09-2018;18999;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
c3eb9e5d-f4e3-4864-a283-32063782cd8b;bmw;318;d Touring MHEV Business Advantage 150CV auto;140000;11-2020;19490;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
a564e061-226c-464f-bf1a-b178e7b929dc;bmw;116;116d 5p. Msport;53050;02-2019;19900;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
6e6ae0b6-d199-4d2e-96ec-d525bfb48e1e;bmw;730;d xDrive Eccelsa;226135;02-2018;25900;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
ba7cd9b3-4e1f-4373-8975-5120395e92d8;bmw;318;F30 2015 Berlina Diese 318d Luxury auto;26260;12-2018;20900;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
250bff01-d3f5-4e26-b9cb-743bede208ee;bmw;325;d xDrive Touring Msport;217024;10-2018;11890;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
95b8a156-80a4-4f2f-bff4-6cb14db0a9e7;bmw;x3 m;X3 xDrive20d Msport;176000;10-2018;21990;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
9ef30f77-9018-4f26-a204-3136a54f936c;bmw;118;d 2.0d 5p. Msport Aut.;170462;02-2018;15800;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
5e715a62-2fe6-4187-bff7-3d905f8159d0;bmw;318;d Msport auto;73104;03-2020;27990;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
048e2c73-d09b-4bcd-8565-0e280f0e3f9e;bmw;118;118i 5p. Business Advantage;21000;04-2020;17900;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
936c36b2-ab2d-433f-8030-66a588f3c1a5;bmw;x1;X1 sdrive18d Advantage;62750;10-2019;21500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
5f02b255-fdc0-49fa-a56c-9e9a00e9e28a;bmw;x1;sdrive18d xLine auto my18 * PREZZO REALE *;97334;07-2019;20500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
192b1b12-245c-4867-a52f-59715ac378dd;bmw;118;118i 5p Advantage LED;55800;09-2021;18700;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
3cc24cd6-b4b0-420f-8cea-478f1a751658;bmw;x2;sDrive16d M Sport X-RETROCAM-TAGLIANDI BMW-GAR.24M;114000;12-2020;25400;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
0b86f1f6-f054-4436-a460-fe88c91ddbf9;bmw;x4;IVATA;45000;12-2018;37500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
f5592de1-6c1e-4848-8438-842e437f9c70;bmw;x3;xdrive30d mhev Msport 286cv km 78.000 iva esposta;78000;06-2022;39500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
ea4f3e3a-de65-4860-a229-4ae5cb0a2d7b;bmw;x1;sDrive16d xLine;126935;09-2018;17500;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
10d4d109-b472-4a26-8e59-a06719f15948;bmw;220;d Gran Tourer xDrive Business 7 posti auto;120000;06-2019;17490;Bryan Auto Srl;BRYAN AUTO • IT-13100 Vercelli;2024-11-22
c3eb9e5d-f4e3-4864-a283-32063782cd8b;bmw;318;d Touring MHEV Business Advantage 150CV auto;140000;11-2020;19490;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
1cc99826-d7fd-4dde-8e3e-ef5d968827ee;bmw;118;118d Msport auto;116670;01-2021;22450;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
d4bc0470-370c-4a68-90f5-2c80d191b789;bmw;218;218i Active Tourer Business 140cv auto;68791;08-2020;15900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
1d16f6fd-b78d-4afb-9334-5588b3fcbe79;bmw;x2;sDrive16d Msport;116000;12-2018;20900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
2e848a7a-6275-4b70-9905-716dc1828ca2;bmw;118;d 5p. Msport Tetto Pelle 18'' Black Shadow;114057;01-2019;22000;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
6b28fa12-e282-4810-866f-317b623cbf4b;bmw;520;Bmw Serie 520 Touring;108700;07-2019;22500;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
a28ecdc2-f4ac-49bc-9f47-9747ce791222;bmw;118;118d 5p. M Sport;60646;10-2020;25960;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
0b1fcd55-2bb2-4a38-b6ad-374cce143373;bmw;116;116d 5p Msport auto;83000;02-2019;18990;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
e7951b1d-fbb7-4c69-8462-91fe8b232dc2;bmw;420;d xDrive Gran Coupé Msport;71685;09-2020;29870;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
8c324a21-8093-41e6-ac6a-c62a5d6288c2;bmw;118;118i M-sport M SPORT Auto;54000;03-2021;23900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
fab2566c-6b9f-4665-8bcf-5e644460df41;bmw;418;d Gran Coupe Advantage LED NAVIGATORE IVA ESPOSTA;68000;05-2018;23900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
53603151-4179-4b2b-8b48-dba06ed40b54;bmw;520;520d Touring xdrive Luxury auto;99000;08-2019;26900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
1413f282-b70e-44b1-8ea0-ff8a9de3a7fc;bmw;216;1.5d ACTIVE TOURER 116cv BLUETOOTH CRUISE SENSORI;119920;07-2018;12800;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
5ac49db0-13f4-4585-830b-b8dd36598654;bmw;118;Navi PDC CruiseControl S&S C.17 KeylessGo;175000;02-2019;13900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
8fe35d64-d27c-4217-8b50-eee6f83155e9;bmw;x1;xDrive25d xLine;66000;01-2018;25500;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
153b227b-ba49-4c7d-8fda-8cf6e6026301;bmw;x1;sdrive 16d NAVI LED EURO 6DTEMP TAGLIANDI REGOLARI;100000;06-2018;17900;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
322e5858-994a-4d8d-9804-30170e0e66e1;bmw;x3;xdrive20d Business Adv. 190cv auto  Unico Propr.;93000;06-2020;28500;Ultu Selection srl;Simone Ulturale • IT-25035 Ospitaletto -  BS;2024-11-22
